Final State Abbreviation Standard,Final County,CNT
ME,Androscoggin County,58
ME,Androscoggin County,43
ME,Androscoggin County,44
ME,Androscoggin County,37
ME,Oxford County,14
ME,Androscoggin County,27
ME,Oxford County,44
ME,Androscoggin County,18
ME,Kennebec County,15
ME,Cumberland County,21
ME,Oxford County,13
ME,Androscoggin County,16
ME,Kennebec County,11
ME,Oxford County,64
ME,Oxford County,89
ME,Oxford County,1
ME,Androscoggin County,37
ME,Oxford County,7
ME,Oxford County,137
ME,Androscoggin County,51
ME,Oxford County,77
ME,Androscoggin County,51
ME,Kennebec County,24
ME,Sagadahoc County,14
ME,Androscoggin County,1
ME,Oxford County,72
ME,Oxford County,18
ME,Oxford County,11
ME,Franklin County,32
ME,Kennebec County,299
ME,Lincoln County,5
ME,Kennebec County,21
ME,Kennebec County,159
ME,Kennebec County,9
ME,Kennebec County,11
ME,Lincoln County,26
ME,Kennebec County,5
ME,Kennebec County,24
ME,Kennebec County,30
ME,Kennebec County,11
ME,Lincoln County,36
ME,Waldo County,5
ME,Kennebec County,41
ME,Sagadahoc County,13
ME,Kennebec County,53
#FIELD!,#FIELD!,1
ME,Kennebec County,2
ME,Kennebec County,18
ME,Kennebec County,52
ME,Penobscot County,740
ME,Hancock County,5
ME,Penobscot County,10
ME,Penobscot County,10
ME,Penobscot County,137
ME,Washington County,2
ME,Piscataquis County,25
ME,Piscataquis County,9
ME,Hancock County,42
ME,Penobscot County,3
ME,Penobscot County,16
ME,Penobscot County,21
ME,Hancock County,1
ME,Hancock County,2
ME,Penobscot County,7
ME,Washington County,16
ME,Piscataquis County,37
ME,Penobscot County,39
ME,Penobscot County,23
ME,Penobscot County,42
ME,Penobscot County,17
ME,Penobscot County,8
ME,Penobscot County,9
ME,Waldo County,9
ME,Piscataquis County,22
ME,Piscataquis County,29
ME,Penobscot County,71
ME,Penobscot County,12
ME,Penobscot County,7
ME,Penobscot County,19
ME,Penobscot County,7
ME,Penobscot County,10
ME,Penobscot County,23
ME,Penobscot County,64
ME,Penobscot County,2
ME,Penobscot County,16
ME,Penobscot County,19
ME,Penobscot County,65
ME,Piscataquis County,28
ME,Piscataquis County,10
ME,Penobscot County,171
ME,Penobscot County,32
ME,Aroostook County,1
ME,Hancock County,18
ME,Penobscot County,57
ME,Penobscot County,17
ME,Penobscot County,1
ME,Hancock County,15
ME,Piscataquis County,12
ME,Penobscot County,5
ME,Penobscot County,4
ME,Penobscot County,3
